ID_String,Text,News_Org,SA
1071924021799866370,@TessatTys @davidaxelrod @ggreenwald @RahmEmanuel @CNN In a sense you were right and your question is still a good… https://t.co/uRHbAhvo2Z,CNN,1
1071924017911791624,@realDonaldTrump @TheRickWilson @CNN @TheRickWilson Now that you have been on the receiving end of it.  Is the GOP FOMTs justified?,CNN,1
1071924010211000320,"@DeeBlog @Dennis2Clive @CNN Not so- we like him because hes done more for americans, jobs, the economy and taxes th… https://t.co/x2F83hNqLy",CNN,1
1071924009388797953,@BoSnerdley @CNNPolitics There is a wealth of evidence. @CNN has chosen to ignore it.,CNN,0
1071924007224688640,@AppleWithAFace @paperbackwrit3r @HuffPost @FoxNews Pure projection,FoxNews,1
1071924003042930690,"@DIVINE_VISUALS @CNN It's all right. Everybody has their own view. They got my point, then gave a click. That's it.… https://t.co/tupN6iloDh",CNN,1
1071923989256245248,"@CNN There is no fact in this statement. It is a “he-said, she-said case.” Classic fake reporting my CNN.",CNN,-1
1071923988732018689,@AlsoUnicat @CNN 2. Priebus and Kelly. But Trump criticized Obama (tweeted about it) for having 3 in 3 years. I get… https://t.co/wtpXfsYgxF,CNN,0
1071923985137360898,@AndrewCMcCarthy @FoxNews @POTUS @foxandfriends Now do the members of Congress who used taxpayer dollars to pay hus… https://t.co/XcelOVKzD5,FoxNews,0
1071923972017668097,@dennismm59 @HeatherChilders @TomFitton @JudicialWatch @FoxFriendsFirst @FoxNews @POTUS Huber is essentially a spec… https://t.co/7DaDCyA48Q,FoxNews,0
1071923972000739328,@coltons503 @CNN You're no hope!,CNN,0
1071923961561264129,"'I can't breathe.' Jamal Khashoggi's last words disclosed in transcript, source says @CNN https://t.co/wGAHiVNhyC",CNN,0
1071923934440898560,"OPINION: ""#Comey’s name should be forever removed from the roster of FBI employees who have embraced the core value… https://t.co/ZCRDhWrTFq",,0
1071923931366473730,@jlussan @yasalfalahi @CNN How warped is your thought process?,CNN,0
1071923918259265537,"@jessied44 @TomFitton @JudicialWatch @realDonaldTrump @JudgeJeanine @FoxNews Your words sound homophobic to me,… https://t.co/TnaU58CaBa",FoxNews,1
1071923914643660800,Your show sucks when you put people on that talk over you! We can't understand you. That is WHY I don't watch @CNN,CNN,-1
1071923910839545856,"@AppleWithAFace @Nick_732 @HuffPost @FoxNews Happy Hanukkah, Ryan.",FoxNews,1
1071923900735516677,"@BridgetKF30 @POTUS @CNN @MSNBC @ABC @nbc @CBS @donlemon That's a satirical website, not real. POTUS Trump would call this ""Fake News.""",CNN,-1
1071923899808526336,"@Amy_Siskind @MiaFarrow @CNN 

Thank you @kurteichenwald for such a comprehensive, detailed explanation of this Pre… https://t.co/IWMCtvMIef",CNN,1
1071923892699066368,@cnnbrk I changed channels when @CNN started to review the transcript.  It's not that I don't think it was horrific… https://t.co/fj9Uh5O64T,CNN,-1
1071923886701334528,@wtffffffffcckkk @CNN I don’t think anyone is naive enough to trust a government implicitly. I do however think mos… https://t.co/trRN4j1QI6,CNN,-1
1071923885799587846,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/WkilEfnRrP,CNN,0
1071923879327739904,"@TuckerCarlson Whether it's @realDonaldTrump @KellyannePolls @trumpjrcampain @FoxNews or you, the lack of self awar… https://t.co/5lPuZwW1jj",FoxNews,0
1071923876303527937,You can thank @FoxNews and @realDonaldTrump for all that https://t.co/IAck6FCYwn,FoxNews,0
1071923859358543872,@DavidWohl @realDonaldTrump @weeklystandard Even @FoxNews is leaning left! Pissing me off @TuckerCarlson @TeamCavuto @ShepNewsTeam,FoxNews,0
1071923850718339073,@MollyJongFast @TomFitton @JudicialWatch @realDonaldTrump @JudgeJeanine @FoxNews Looks like Tony Danza and John Tra… https://t.co/NxG3ursJDG,FoxNews,0
1071923818539696128,"The @SecretService correctly not allow this, but if they did, this is the kind of love that many Americans would sh… https://t.co/TpRpAlH2X2",,1
1071923816752996357,@JonathanFolland @ShaiDeLuca @robbystarbuck @CNN So like Hill you advocate the Palestinians taking over all of Israel at the Jews expense?,CNN,0
1071923816035688448,@CNN I cannot wait to watch @andersoncooper on #CNNHeroes! 😍😍😍😍,CNN,0
1071923814622248960,@chuck_coners @JackPaulMiller @sassvox @marc_paquet @RaymondArroyo @IngrahamAngle @FoxNews @maddow @seanhannity… https://t.co/CQ5CRmDEH2,FoxNews,0
1071923802676871168,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/fa9X4PhXjp,CNN,0
1071923789313859584,@EsqShark @yungbiba @snarkylicious @CNN Hiring a child to mow your lawn is legal; hiring a minor to perform sex act… https://t.co/L5hhplupHa,CNN,1
1071923782896492544,OK @FoxNews FOUND THE WAR ON CHRISTMAS FOR YA 🎅🤔 https://t.co/bg69v1wGsl,FoxNews,1
1071923773882929154,@TuckerCarlson How did we get here? @FoxNews that’s how.,FoxNews,0
1071923747903365120,"@TuckerCarlson Watch @Foxnews some time. Check out programs like @foxandfriends, @IngrahamAngle @seanhannity or esp… https://t.co/ABHRgLCxaz",,0
1071923734502617088,See?  I told ya @CNN @Acosta was #FAKENEWS https://t.co/eaUjEKg9dU,CNN,0
1071923725921120256,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/OhI0mohvMA,CNN,0
1071923715494035456,"@ahzoov @ImMaxHeadroom @realDonaldTrump If you were a teacher, it explains the learning deficit in the public schoo… https://t.co/toZXHIsDBK",,0
1071923693545152512,"@paperbackwrit3r @Nick_732 @HuffPost @FoxNews I'd keep talking, but you cats are brainwashed and hopeless.",FoxNews,0
1071923659277852672,@davidaxelrod @RahmEmanuel @CNN I say BS to that.  The current person did not get in because of good politics - it… https://t.co/KLagpIxhmo,CNN,1
1071923647307223041,@TheRealHublife @CNN @FoxNews @CBS @ABC @nbc @espn @USATODAY Don’t leave @TIME @maddow @MSNBC @andersoncooper out.… https://t.co/8xkV6YSRyq,,0
1071923647005319168,Adam Schiff: Trump could 'face the real prospect of jail time' @CNN https://t.co/SAZDGUQaMZ,CNN,1
1071923633134690307,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/z6uXQXSw05,CNN,0
1071923617280090112,"@paulwharton79 @CNN What’s your view on rats, dogs and hogs mate? More of them?",CNN,1
1071923591611080704,@AndrewCMcCarthy @FoxNews @POTUS @foxandfriends Why wasn’t Obama indicted? https://t.co/FxKQJ70BZw,FoxNews,0
1071923585046974464,@RobinRoberts @GMA @KETV @TheEllenShow @CBSNews @CNN https://t.co/cWfkonPlid,CNN,0
1071923577950064640,"Send the ignorant JERK packing.  No money for that freakin' WALL! 😠

#FNC @CNN @MSNBC @SeanHannity @SarahHuckabee… https://t.co/g5P4EB4A15",CNN,0
1071923567154089984,".@BrianStelter thanks for having our founding editor @robwijnberg on @ReliableSources @CNN today! Now, let’s unbrea… https://t.co/0z3h2xLFSb",CNN,1
1071923556122914816,@CNN @SnapProtest https://t.co/Y9fJdEmjIy,CNN,0
1071923555900641280,That was before you and you @FoxNews buddies started spouting your irresponsible venom https://t.co/bc90LKYR2w,FoxNews,0
1071923550548832256,@WahcaMia @LIVE_COVERAGE @CNN @realDonaldTrump @donlemon As a retired deputy sheriff I'm very familiar with the sta… https://t.co/oHHNKUxRGN,CNN,1
1071923548896272385,@CNN Nobody that matters gives a shit,CNN,-1
1071923548380381184,"@Jali_Cat @BarackObama @CNN @jaketapper @donlemon @DanaBashCNN @brianstelter I know, right? https://t.co/VPbki4K1vs",CNN,1
1071923544169148416,@BridgetKF30 @SandraTXAS @POTUS @CNN @MSNBC @ABC @nbc @CBS @donlemon Everyone is waiting for SJW vultures to dig up… https://t.co/KoQ4w3w3TN,CNN,0
1071923537273896964,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/5QJgaLC4Er,CNN,0
1071923517300531200,"@foxnews @FoxNewsSunday Chris Wallace Show, Trump bashing Sunday",FoxNews,0
1071923497469952002,@SebGorka @TheMarkPantano @Comey @BarackObama Either way he’s never working in politics again. @comey made sure of… https://t.co/KdghXYvjmm,,1
1071923471553302530,"@DavidOstrande10 @SarahPalinUSA @Pontifex @FBI Too gross to explain again 

Ref @AnaCabrera at @CNN this past summe… https://t.co/Q8HR5mKTsP",CNN,-1
1071923462279741440,@CNN When you were the head of the FBI and say you don't recall or don't know about one of the biggest FBI cases ev… https://t.co/jzRge5Bqcm,CNN,0
1071923459406684160,@Goss30Goss @CNN Thank you!,CNN,0
1071923453324857345,@tedlieu @TuckerCarlson @FoxNews ? Your boy isn't toeing the line. Better fire him for insubordination. Please and… https://t.co/1dyUSTlQSa,FoxNews,1
1071923442432311296,@pinkk9lover @bobsbabie1965 @POTUS @Acosta @CNN @donlemon @Q_101_X @ROCKONOHIO @BestBrownsFan @RNRKentucky @AppSame… https://t.co/Ip7tHWZcvg,CNN,0
1071923425889959941,"@mjamesom4 @TuckerCarlson @CNN And you didn’t answer a single question I asked. Becuase you can’t, of course. You don’t know enough.",CNN,-1
1071923410970820608,@MamaMaryE @JerryFalwellJr @WattersWorld @FoxNews That's what he said....,FoxNews,0
1071923402175205376,@MaxKennerly @davidaxelrod @RahmEmanuel @CNN Did he say Trump's better because he won? That's not what he says in t… https://t.co/UwlTcOEjEo,CNN,1
1071923371225550849,@CNN @robertbtracy https://t.co/lOyf1cqOdr,CNN,0
1071923364007198720,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/s5PdGOsj2n,CNN,0
1071923359653466112,@JIMlNSTOPLIP @cnnbrk @BBCBreaking @BBCWorld @CNN @AlJazeera,CNN,0
1071923351600422912,@ssmlmz @RhondaDanielso2 @FoxNews https://t.co/FJhQRZLzLR,FoxNews,0
1071923347250864130,@RobertWalter @RVAwonk @CNN I think the video of jks entry into the consulate was heavily constructed.,CNN,-1
1071923341680918530,"Disappointed, but not surprised. Twitter, do your thing
@Columbia @CC_Columbia #ColumbiaWhiteExcellence… https://t.co/D7nPJ6hVbA",,-1
1071923322164785153,@realDonaldTrump @TheRickWilson @CNN People like @realDonaldTrump shouldn't be allowed to be president unless given… https://t.co/Fjgndftcwo,CNN,0
1071923321673924608,"Markets factors in the rapidly-Nazifying fascist-Left ""democrats"" theft of the house and @foxnews' @foxnewsSunday S… https://t.co/RIO2rzPyuj",,0
1071923317383331841,"@SandyHaf @CNN @CNNOpinion And lied repeatedly, as Greg said. Playing follow the leader isn’t getting you very far, is it?",CNN,1
1071923304443858944,@CNN What a sick sick sick creature. Jail would be too good for her. https://t.co/PKdKyuY3eC,CNN,-1
1071923297674252289,"The next White House Chief of Staff??!!
Peeps from .@FoxNews  are lining up now. Stampeding each other. You never k… https://t.co/f7cCrdPvoz",FoxNews,-1
1071923292657864705,@CNN @andersoncooper @KellyRipa This show is puke worthy,CNN,1
1071923291865133057,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/KMC0jDotvx,CNN,0
1071923278912995328,"Mr. Mueller shows his cards—and reveals a pack of jokers @CNN https://t.co/FWSYAeoYmT

You know, 20 years ago I'd w… https://t.co/cHaqB1fbhs",CNN,0
1071923266875355136,@CNN Where is Avanti? Where is Stormy?,CNN,0
